Date,BoardNo,SpotPrice,FuturePrice
0,0,2849,-1
0,0,2855,-1
0,0,2831,-1
0,0,2826,-1
0,0,2838,-1
0,0,2842,-1
0,0,2849,-1
0,0,2818,-1
0,0,2767,-1
0,0,2784,-1
0,0,2789,-1
0,0,2789,-1
0,0,2813,-1
0,0,2816,-1
0,0,2779,-1
0,0,2789,-1
0,0,2781,-1
0,0,2806,-1
0,0,2788,-1
0,0,2787,-1
0,0,2795,-1
0,0,2791,-1
0,0,2801,-1
0,0,2804,-1
0,0,2774,-1
0,0,2766,-1
0,0,2760,-1
0,0,2755,-1
0,0,2762,-1
0,0,2786,-1
0,0,2786,-1
0,0,2749,-1
0,0,2724,-1
0,0,2648,-1
0,0,2640,-1
0,0,2585,-1
0,0,2498,-1
0,0,2584,-1
0,0,2655,-1
0,0,2640,-1
0,0,2658,-1
0,0,2634,-1
0,0,2622,-1
0,0,2609,-1
0,0,2629,-1
0,0,2622,-1
0,0,2584,-1
0,0,2531,-1
0,0,2496,-1
0,0,2496,-1
0,0,2482,-1
0,0,2393,-1
0,0,2349,-1
0,0,2293,-1
0,0,2380,-1
0,0,2508,-1
0,0,2533,-1
0,0,2526,-1
0,0,2551,-1
0,0,2465,-1
0,0,2354,-1
0,0,2481,-1
0,0,2450,-1
0,0,2501,-1
0,0,2553,-1
0,0,2610,-1
0,0,2567,-1
0,0,2570,-1
0,0,2564,-1
0,0,2561,-1
0,0,2514,-1
0,0,2494,-1
0,0,2554,-1
0,0,2557,-1
0,0,2566,-1
0,0,2544,-1
0,0,2542,-1
0,0,2538,-1
0,0,2547,-1
0,0,2556,-1
0,0,2585,-1
0,0,2589,-1
0,0,2618,-1
0,0,2613,-1
0,0,2597,-1
0,0,2595,-1
0,0,2639,-1
0,0,2660,-1
0,0,2642,-1
0,0,2637,-1
0,0,2650,-1
0,0,2639,-1
0,0,2626,-1
0,0,2651,-1
0,0,2645,-1
0,0,2644,-1
0,0,2651,-1
0,0,2670,-1
0,0,2660,-1
0,0,2663,-1
0,0,2684,-1
0,0,2674,-1
0,0,2670,-1
0,0,2687,-1
0,0,2680,-1
0,0,2692,-1
0,0,2678,-1
0,0,2669,-1
0,0,2661,-1
0,0,2651,-1
0,0,2667,-1
0,0,2653,-1
0,0,2637,-1
0,0,2615,-1
0,0,2644,-1
0,0,2637,-1
0,0,2628,-1
0,0,2602,-1
0,0,2646,-1
0,0,2722,-1
0,0,2728,-1
0,0,2739,-1
0,0,2721,-1
0,0,2730,-1
0,0,2718,-1
0,0,2711,-1
0,0,2726,-1
0,0,2734,-1
0,0,2716,-1
0,0,2717,-1
0,0,2734,-1
0,0,2766,-1
0,0,2811,-1
0,0,2798,-1
0,0,2779,-1
0,0,2750,-1
0,0,2734,-1
0,0,2703,-1
0,0,2673,-1
0,0,2694,-1
0,0,2675,-1
0,0,2637,-1
0,0,2609,-1
0,0,2625,-1
0,0,2607,-1
0,0,2573,-1
0,0,2514,-1
0,0,2416,-1
0,0,2368,-1
0,0,2436,-1
0,0,2383,-1
0,0,2365,-1
0,0,2299,-1
0,0,2316,-1
0,0,2419,-1
0,0,2379,-1
0,0,2338,-1
0,0,2325,-1
0,0,2291,-1
0,0,2220,-1
0,0,2122,-1
0,0,2172,-1
0,0,2247,-1
0,0,2306,-1
0,0,2245,-1
0,0,2310,-1
0,0,2312,-1
0,0,2272,-1
0,0,2225,-1
0,0,2161,-1
0,0,2127,-1
0,0,2166,-1
0,0,2228,-1
0,0,2192,-1
0,0,2217,-1
0,0,2201,-1
0,0,2181,-1
0,0,2139,-1
0,0,2104,-1
0,0,2073,-1
0,0,2042,-1
0,0,2067,-1
0,0,2005,-1
0,0,1916,-1
0,0,1904,-1
0,0,1873,-1
0,0,1857,-1
0,0,2086,-1
0,0,2089,-1
0,0,2067,-1
0,0,2107,-1
0,0,2136,-1
0,0,2123,-1
0,0,2037,-1
0,0,2037,-1
0,0,2058,-1
0,0,2098,-1
0,0,2116,-1
0,0,2091,-1
0,0,2129,-1
0,0,2166,-1
0,0,2171,-1
0,0,2151,-1
0,0,2172,-1
0,0,2168,-1
0,0,2174,-1
