Date,BoardNo,SpotPrice,FuturePrice
0,0,3561,-1
0,0,3583,-1
0,0,3525,-1
0,0,3468,-1
0,0,3430,-1
0,0,3506,-1
0,0,3461,-1
0,0,3383,-1
0,0,3439,-1
0,0,3413,-1
0,0,3440,-1
0,0,3423,-1
0,0,3438,-1
0,0,3472,-1
0,0,3438,-1
0,0,3436,-1
0,0,3421,-1
0,0,3412,-1
0,0,3400,-1
0,0,3423,-1
0,0,3453,-1
0,0,3461,-1
0,0,3452,-1
0,0,3462,-1
0,0,3463,-1
0,0,3437,-1
0,0,3410,-1
0,0,3382,-1
0,0,3390,-1
0,0,3356,-1
0,0,3374,-1
0,0,3408,-1
0,0,3378,-1
0,0,3443,-1
0,0,3438,-1
0,0,3446,-1
0,0,3420,-1
0,0,3439,-1
0,0,3431,-1
0,0,3461,-1
0,0,3470,-1
0,0,3443,-1
0,0,3437,-1
0,0,3464,-1
0,0,3470,-1
0,0,3477,-1
0,0,3418,-1
0,0,3399,-1
0,0,3396,-1
0,0,3418,-1
0,0,3407,-1
0,0,3411,-1
0,0,3433,-1
0,0,3432,-1
0,0,3438,-1
0,0,3440,-1
0,0,3442,-1
0,0,3401,-1
0,0,3398,-1
0,0,3337,-1
0,0,3319,-1
0,0,3316,-1
0,0,3319,-1
0,0,3341,-1
0,0,3319,-1
0,0,3299,-1
0,0,3259,-1
0,0,3306,-1
0,0,3314,-1
0,0,3305,-1
0,0,3302,-1
0,0,3244,-1
0,0,3251,-1
0,0,3269,-1
0,0,3260,-1
0,0,3275,-1
0,0,3261,-1
0,0,3291,-1
0,0,3275,-1
0,0,3290,-1
0,0,3303,-1
0,0,3348,-1
0,0,3358,-1
0,0,3328,-1
0,0,3326,-1
0,0,3332,-1
0,0,3311,-1
0,0,3331,-1
0,0,3316,-1
0,0,3308,-1
0,0,3288,-1
0,0,3291,-1
0,0,3299,-1
0,0,3300,-1
0,0,3331,-1
0,0,3319,-1
0,0,3291,-1
0,0,3301,-1
0,0,3269,-1
0,0,3268,-1
0,0,3237,-1
0,0,3210,-1
0,0,3214,-1
0,0,3210,-1
0,0,3231,-1
0,0,3217,-1
0,0,3222,-1
0,0,3217,-1
0,0,3186,-1
0,0,3160,-1
0,0,3116,-1
0,0,3111,-1
0,0,3135,-1
0,0,3154,-1
